SiteName,Type,SR,Sdate,Stime,Pdate,Pmin,Peffort,Year
Blease_3B_6,AC,10,15,363,43214,18,1,2017
Blease_3B_9,AC,16,18,500,43214,15,2,2017
Bryson_2B_9,AC,11,47,380,43216,14,2,2017
Creswell_0B_8,AC,16,33,513,43219,27,7,2017
Creswell_2B_10,AC,16,22,559,43220,12,2,2017
Hudson_2B_7,AC,16,33,507,43215,26,8,2017
Kemp_0B_10,AC,14,34,526,43216,14,2,2017
Kemp_1B_1,AC,14,29,359,43216,19,4,2017
Kemp_2B_5,AC,15,10,395,43217,24,5,2017
Kessler_3B_4,AC,14,20,566,43216,19,5,2017
Kessler_3B_5B,AC,15,21,546,43218,15,2,2017
Mathis_1B_6,AC,17,34,445,43219,13,2,2017
Mills_0B_9,AC,12,24,518,43215,16,2,2017
Mills_1B_45,AC,15,52,471,43219,13,2,2017
Shealy_0B_2,AC,18,4,478,43218,13,2,2017
Shealy_0B_4,AC,15,24,573,43217,22,6,2017
Shealy_1B_3B,AC,15,19,353,43218,13,2,2017
Shealy_1B_E_S,AC,17,23,382,43219,15,3,2017
Shealy_2B_3,AC,13,404,390,43214,14,1,2017
Suggs_0B_E_S,AC,16,34,464,43215,14,2,2017
Swanson_3B_2,AC,18,8,394,43217,13,1,2017
Turkey_Rd_2B_6A,AC,17,17,422,43220,13,2,2017
Timberhaven_2B_1,AC,16,31,500,43217,12,1,2017
Burnett_1B_5,AC,15,35,482,43217,19,5,2017
Honea_Path_3B_3,AC,13,1,375,43218,16,2,2017
Honea_Path_3B_1,AC,16,17,457,43218,14,2,2017
Honea_Path_0B_1,AC,13,15,419,43215,24,6,2017
Abercrombie_0B_E_AB,AC,9,1,367,43215,11,1,2017
Abercrombie_1B_2,AC,8,19,360,43216,12,1,2017
Battlewood_1B_8,AC,18,41,388,43338,12,1,2018
Blease_3B_6,AC,15,22,398,43335,11,1,2018
Blease_3B_9,AC,13,33,380,43338,11,1,2018
Bryson_2B_9,AC,13,5,474,43333,11,2,2018
Burnett_1B_5,AC,9,8,350,43333,11,2,2018
Creswell_0B_8,AC,14,35,530,43338,11,1,2018
Creswell_2B_10,AC,14,28,354,43336,12,1,2018
Gosnell_0B_5B,AC,15,34,518,43338,12,1,2018
Hood_Creek_Rd_0B_7,AC,15,36,505,43338,12,2,2018
Hudson_2B_7,AC,15,23,506,43335,12,2,2018
Kemp_1B_1,AC,20,16,547,43334,12,2,2018
Kemp_2B_5,AC,21,29,460,43336,12,2,2018
Kessler_3B_4,AC,14,7,378,43333,12,1,2018
Kessler_3B_5B,AC,13,36,352,43338,11,1,2018
Mathis_1B_6,AC,10,29,366,43338,13,2,2018
Mills_0B_9,AC,7,19,365,43334,12,1,2018
Mills_1B_45,AC,14,11,452,43333,11,1,2018
Shealy_0B_2,AC,10,22,504,43335,11,1,2018
Shealy_0B_4,AC,11,38,564,43338,11,1,2018
Shealy_1B_3B,AC,11,24,356,43335,11,1,2018
Shealy_1B_E_S,AC,16,23,425,43334,12,2,2018
Shealy_2B_3,AC,16,12,444,43334,14,3,2018
Suggs_0B_E_S,AC,14,5,370,43333,11,1,2018
Swanson_3B_2,AC,11,22,366,43335,11,1,2018
Timberhaven_2B_1,AC,17,20,426,43334,11,1,2018
Abercrombie_0B_E_AB,AC,12,26,419,43336,12,1,2018
Abercrombie_1B_2,AC,15,38,404,43338,12,2,2018
Honea_Path_0B_1,AC,18,26,558,43336,13,2,2018
Honea_Path_3B_1,AC,15,26,379,43336,11,2,2018
Honea_Path_3B_3,AC,16,37,505,43338,12,2,2018
